cluster1	cluster2	cluster3	cluster4	cluster5	cluster6  
HNF1B	LINC01635	IL17RD	EPHX3	RICTOR	LOC100289333
HNF4A	LINC01645	IL1RAPL1	EPM2A	RIF1	LOC100289361
HNF4G	LINC01664	IL1RAPL2	EPOR	RIOK3	LOC100289511
HNRNPA1P10	LINC01669	IL21-AS1	EPRS	RIPK2	LOC100291105
HNRNPA1P33	LINC01671	IL23R	EPS8L2	RLF	LOC100294362
HNRNPCL4	LINC01675	IL2RB	ERAL1	RN7SL1	LOC100335030
HOPX	LINC01694	IL4	ERAP1	RNASE6	LOC100379224
HORMAD1	LINC01707	IL4I1	ERBB2	RNASET2	LOC100422556
HORMAD2	LINC01708	ILDR2	ERC2-IT1	RND1	LOC100422781
HORMAD2-AS1	LINC01722	IMMT	ERCC1	RNF13	LOC100506023
HOTS	LINC01729	IMPA1	ERCC8	RNF169	LOC100506083
HOXA10	LINC01752	IMPG1	ERG28	RNF17	LOC100506282
HOXA10-AS	LINC01763	INA	ERGIC1	RNF181	LOC100506682
HOXB-AS3	LINC01772	INHBC	ERGIC3	RNF182	LOC100506790
HOXB13	LINC01799	INPP4A	ERH	RNF216P1	LOC100506804
HOXB3	LINC01800	INPP5B	ERI3	RNPC3	LOC100507053
HOXB4	LINC01809	INPP5E	ERI3-IT1	RNVU1-18	LOC100507351
HOXB7	LINC01812	INSC	ERICH6-AS1	RNVU1-18.1	LOC100507373
HOXC12	LINC01814	INSL6	ERP29	ROCR	LOC100507377
HOXC13-AS	LINC01820	INTS8	ERV3-1-ZNF117	ROPN1	LOC100508046
HOXC5	LINC01838	INTS9	ERVMER34-1	RORA	LOC100996249
HOXD13	LINC01843	IPO8	ESD	RP9P	LOC100996654
HOXD3	LINC01846	IQCA1	ESRG	RPH3AL	LOC101059915
HP1BP3	LINC01861	IQCA1L	ESYT1	RPP21	LOC101241902
HPDL	LINC01872	IQCB1	ETFB	RPS16P5	LOC101559451
HPGD	LINC01880	IQCD	ETNK1	RPS4Y2	LOC101926933
HPN-AS1	LINC01894	IQCE	ETNK2	RPS6KA2	LOC101926964
HPS6	LINC01909	IQCJ	ETS1-AS1	RSBN1L	LOC101927050
HPSE	LINC01913	IRAIN	ETS2	RSPH10B	LOC101927051
HR	LINC01914	IRAK1BP1	ETV1	RSPH10B.1	LOC101927079
HRAS	LINC01926	IRAK2	ETV2	RSPH4A	LOC101927100
HRCT1	LINC01934	IRF1	ETV4	RSPH6A	LOC101927166
HRH1	LINC01950	IRF6	EVA1A	RSRC1	LOC101927168
HRK	LINC01970	IRF8	EVA1C	RTF1	LOC101927189
HRNR	LINC01980	ISL1	EVL	RUFY1	LOC101927237
HS3ST1	LINC01989	ISOC1	EWSR1	RUNDC3B	LOC101927267
HS3ST3A1	LINC01995	ISX-AS1	EXOC1L	RXFP1	LOC101927365
HS3ST3B1	LINC02018	ITGA11	EXOC3-AS1	RXRB	LOC101927418
HS6ST1	LINC02022	ITGA4	EXOC6B	S1PR1	LOC101927420
HSBP1L1	LINC02046	ITGA9	EXOSC1	SAA1	LOC101927543
HSD17B1	LINC02049	ITGAE	EXOSC10	SAA3P	LOC101927551
HSD17B11	LINC02050	ITGB3BP	EXOSC2	SAMD15	LOC101927596
HSD17B6	LINC02056	ITGBL1	EXOSC5	SAMMSON	LOC101927727
HSD3B1	LINC02078	ITIH4	EXOSC8	SART1	LOC101927770
HSD3BP4	LINC02088	ITIH5	EXT2	SBF1	LOC101927795
HSDL2	LINC02091	ITM2C	EXTL2	SCARB2	LOC101927798
HSP90AA1	LINC02092	ITPR1	F12	SCARNA10	LOC101927827
HSP90AB4P	LINC02116	ITPRID2	F2R	SCARNA16	LOC101927919
HSPA6	LINC02147	ITSN2	F2RL2	SCARNA21	LOC101928012
HSPA8	LINC02149	IZUMO2	FAAH2	SCARNA22	LOC101928042
HSPB8	LINC02150	JADE3	FAAP20	SCARNA28	LOC101928053
HSPC324	LINC02167	JAG1	FABP6	SCARNA5	LOC101928068
HSPH1	LINC02192	JAK1	FADD	SCARNA7	LOC101928119
HTATSF1P2	LINC02206	JAKMIP3	FADS1	SCHLAP1	LOC101928131
HTR2B	LINC02208	JAM3	FADS2	SCML2	LOC101928191
HTRA2	LINC02209	JARID2	FADS6	SCN11A	LOC101928211
HTRA4	LINC02210-CRHR1	JAZF1	FAH	SCN5A	LOC101928371
HTT	LINC02212	JHY	FAHD1	SCRT2	LOC101928402
HTT-AS	LINC02223	JMY	FAHD2A	SCUBE1	LOC101928523
HUS1	LINC02224	KAAG1	FAHD2B	SCUBE2	LOC101928530
HUWE1	LINC02226	KALRN	FAIM	SCYL2	LOC101928617
HYAL1	LINC02234	KANK2	FALEC	SDAD1	LOC101928697
HYAL3	LINC02257	KAT7	FAM110B	SDAD1P1	LOC101928700
HYAL4	LINC02263	KATNA1	FAM110C	SDR42E2	LOC101928837
HYKK	LINC02299	KATNAL1	FAM111A	SEC14L1P1	LOC101928844
HYMAI	LINC02302	KBTBD2	FAM111A-DT	SEC1P	LOC101928902
HYOU1	LINC02303	KBTBD7	FAM114A1	SEC24C	LOC101928924
IARS2	LINC02313	KCND3-AS1	FAM120AOS	SEC31B	LOC101928994
IATPR	LINC02318	KCNE1B	FAM126A	SEL1L2	LOC101929057
IBTK	LINC02328	KCNE4	FAM129A	SELENON	LOC101929058
ICK	LINC02337	KCNH1	FAM131B	SEMA3D	LOC101929122
ICMT	LINC02338	KCNH1-IT1	FAM136A	SEMA3G	LOC101929124
ID2	LINC02345	KCNH7	FAM155A	SENP3	LOC101929243
IDH1	LINC02347	KCNIP4	FAM157A	SENP7	LOC101929315
IDH3A	LINC02351	KCNJ18	FAM157C	SERF1B	LOC101929415
IDI1	LINC02352	KCNJ6	FAM162A	SERF1B.1	LOC101929464
IFI16	LINC02361	KCNK13	FAM167B	SERPINB8	LOC101929523
IFI27	LINC02365	KCNMB2	FAM171A1	SESN3	LOC101929592
IFI30	LINC02367	KCNN2	FAM171B	SETD3	LOC101929622
IFI44L	LINC02397	KCNQ1	FAM174A	SETX	LOC101929626
IFI6	LINC02414	KCNQ1-AS1	FAM183A	SF3B1	LOC101929662
IFIT2	LINC02415	KCNQ3	FAM185A	SFSWAP	LOC101929762
IFITM1	LINC02421	KCNT1	FAM189B	SFTA3	LOC102546294
IFITM10	LINC02427	KCTD10	FAM192A	SFXN5	LOC102723385
IFITM3	LINC02451	KCTD13	FAM201A	SGCG	LOC102723439
IFNGR1	LINC02453	KCTD2	FAM201B	SGO1	LOC102723582
IFNK	LINC02465	KCTD5	FAM204A	SGO1-AS1	LOC102723665
IFNL2	LINC02482	KDM1B	FAM20C	SH3BP1	LOC102723672
IFNL3	LINC02490	KDM3A	FAM210B	SH3BP5L	LOC102723703
IFT172	LINC02495	KDM4A	FAM216A	SHC4	LOC102723996
IGF1	LINC02523	KDM4D	FAM217B	SHOC2	LOC102724020
IGF2-AS	LINC02534	KDM5A	FAM219B	SIGLEC6	LOC102724034
IGF2BP1	LINC02537	KDM5C	FAM221A	SIGLECL1	LOC102724034.1
IGF2R	LINC02547	KDM6A	FAM229A	SIX1	LOC102724050
IGFBP7-AS1	LINC02548	KDM6B	FAM234A	SIX3-AS1	LOC102724064
IGSF22	LINC02558	KHDC3L	FAM239A	SKA1	LOC102724153
IGSF3	LINC02564	KHDRBS3	FAM24B-CUZD1	SLAMF8	LOC102724434
IKZF3	LINC02568	KHSRP	FAM3A	SLC16A4	LOC105369201
IL10RB	LINC02574	KIAA0232	FAM3C	SLC1A6	LOC105369747
IL11RA	LINC02575	KIAA0355	FAM45A	SLC22A31	LOC105369980
IL15	LINC02582	KIAA0586	FAM47E-STBD1	SLC25A30-AS1	LOC105370687
IL17D	LINC02586	KIAA0753	FAM49B	SLC25A46	LOC105370941
IL17RB	LINC02607	KIAA0825	FAM53B-AS1	SLC26A4	LOC105370980
IL18BP	LINC02614	KIAA0930	FAM57A	SLC26A7	LOC105371046
IL18R1	LINC02617	KIAA1147	FAM57B	SLC2A13	LOC105371049
IL1F10	LINC02627	KIAA1211	FAM66D	SLC35C1	LOC105371485
IL1R1	LINC02671	KIAA1211L	FAM71F1	SLC35F3	LOC105371592
IL1R2	LINC02691	KIAA1257	FAM78B	SLC5A1	LOC105371730
IL22RA1	LIPG	KIAA1324L	FAM85B	SLC6A13	LOC105371763
IL32	LIPM	KIAA1549	FAM86B3P	SLC6A4	LOC105372582
IL36A	LIPT2	KIAA1549L	FAM86DP	SLC7A11	LOC105372653
IL36RN	LIX1	KIAA1614-AS1	FAM86EP	SLC7A14	LOC105372672
IL4R	LLGL2	KIAA1671	FAM86FP	SLC9A4	LOC105373044
IL6	LMF1	KIAA1841	FAM86HP	SLC9A5	LOC105373311
IL6R	LMF2	KIAA1958	FAM92A	SLC9A6	LOC105373383
IL6ST	LMNTD2	KIF13B	FAM98A	SLC9A7	LOC105373656
IMP4	LMO3	KIF14	FAN1	SLC9A7P1	LOC105373764
IMPAD1	LMO4	KIF15	FANCA	SLCO1B7	LOC105374205
IMPG2	LMO7-AS1	KIF16B	FANCD2	SLFN11	LOC105374952
INAVA	LNCOC1	KIF18A	FANCF	SLFN14	LOC105375131
INHA	LNCOG	KIF1BP	FANCG	SLU7	LOC105375166
INHBA-AS1	LNX1	KIF23	FAR2P2	SLX4IP	LOC105375483
INMT-MINDY4	LNX1-AS2	KIF25	FARSA	SMAD2	LOC105376114
INO80	LOC100049716	KIF26B	FARSB	SMARCC2	LOC105376917
INPP5D	LOC100128494	KIF2C	FAS	SMC5	LOC105376975
INPPL1	LOC100128966	KIF3A	FASTK	SMCR8	LOC105377213
INSIG1	LOC100128988	KIF4A	FAT3	SMG1	LOC105377372
INSL4	LOC100129083	KIF6	FAT4	SMG7	LOC105377752
INSM1	LOC100129534	KIFC3	FAXC	SMIM15-AS1	LOC105377763
INSR	LOC100130172	KIRREL3-AS3	FBL	SMOC1	LOC105377849
INSRR	LOC100130298	KIT	FBLIM1	SMOC2	LOC105378663
INSYN1	LOC100130331	KL	FBLL1	SMURF1	LOC105379183
INSYN2A	LOC100130451	KLC2	FBLN1	SMURF2	LOC105379511
INTS1	LOC100130744	KLC4	FBN2	SNCAIP	LOC107984036
INTS2	LOC100130872	KLF11	FBN3	SNCB	LOC107984132
IP6K2	LOC100130987	KLF12	FBXL16	SNHG28	LOC107984341
IP6K3	LOC100131257	KLF2	FBXL4	SNORA100	LOC107984813
IPMK	LOC100134391	KLHDC10	FBXO17	SNORA101B	LOC110091768
IPO7	LOC100192426	KLHL1	FBXO2	SNORA109	LOC112268105
IPP	LOC100240735	KLHL12	FBXO21	SNORA2A	LOC112268140
IPPK	LOC100268168	KLHL14	FBXO22	SNORA3A	LOC114483834
IQCF5	LOC100287042	KLHL18	FBXO44	SNORA59A	LOC148696
IQCF5-AS1	LOC100287837	KLHL2	FBXO7	SNORA6	LOC157273
IQCN	LOC100287896	KLHL20	FBXW8	SNORA66	LOC221946
IQSEC3	LOC100288728	KLHL24	FBXW9	SNORA72	LOC254028
IRF2BP2	LOC100289580	KLHL26	FCGRT	SNORA75B	LOC256880
IRF5	LOC100499489	KLHL28	FCN3	SNORA86	LOC283028
IRF9	LOC100505774	KLHL32	FCRL5	SNORD107	LOC283922
IRGC	LOC100505921	KLHL38	FCSK	SNORD11	LOC284581
IRX1	LOC100506016	KLHL42	FDFT1	SNORD13	LOC284898
IRX4	LOC100506071	KLHL8	FDPS	SNORD67	LOC284933
ISCU	LOC100506082	KLK3	FDPSP2	SNW1	LOC284950
ISM1-AS1	LOC100506100	KLLN	FDX1	SNX19	LOC285074
ISOC2	LOC100506125	KLRC1	FDX2	SOCS5	LOC286178
ITGAD	LOC100506207	KLRF1	FECH	SOD2-OT1	LOC286359
ITGAM	LOC100506302	KMT2B	FEN1	SORBS1	LOC286437
ITGAX	LOC100506474	KMT2C	FERMT1	SORT1	LOC339260
ITGB3	LOC100506679	KMT5C	FETUB	SOX1-OT	LOC388780
ITGB6	LOC100506725	KNSTRN	FEZ1	SP1	LOC400710
ITGB7	LOC100506730	KNTC1	FGD1	SP110	LOC401021
ITIH6	LOC100506937	KPNA7	FGF1	SP4	LOC414300
ITK	LOC100506985	KRIT1	FGF11	SPAG9	LOC440040
ITPK1	LOC100507006	KRR1	FGF12	SPANXD	LOC440896
ITPK1-AS1	LOC100507250	KRT24	FGF12-AS1	SPANXN3	LOC440910
ITPKA	LOC100507291	KRT32	FGF13	SPANXN4	LOC441155
ITPKB	LOC100507334	KRT36	FGF13-AS1	SPANXN5	LOC441601
ITPKC	LOC100507506	KRT73	FGF14-AS2	SPECC1L	LOC442028
ITSN1	LOC100630923	KRTAP10-1	FGF14-IT1	SPINK7	LOC613266
IZUMO1	LOC100996419	KRTAP10-12	FGF16	SPOCD1	LOC642361
JAML	LOC100996437	KRTAP10-2	FGF19	SPRR3	LOC642929
JCAD	LOC100996447	KRTAP19-8	FGF2	SPTB	LOC643339
JMJD1C-AS1	LOC101060553	KRTAP21-2	FGF20	SPTBN1	LOC644762
JMJD4	LOC101927021	KRTDAP	FGF21	SRARP	LOC644936
JMJD6	LOC101927055	KSR1	FGF7P3	SRBD1	LOC645188
JMJD7-PLA2G4B	LOC101927078	KSR2	FGF7P6	SRD5A2	LOC647070
JMJD8	LOC101927138	KTN1	FGFBP1	SRGAP2	LOC728485
JOSD2	LOC101927143	L3MBTL3	FGFBP3	SRGAP3	LOC728613
JUNB	LOC101927310	LAGE3	FGFR1	SRGN	LOC728752
JUP	LOC101927356	LAMA2	FGR	SRPK1	LOC729305
KANK4	LOC101927391	LAMB1	FHL1	SRRM5	LOC730202
KAT14	LOC101927394	LAMP3	FHL2	SRY	LOC79999
KAT2B	LOC101927417	LANCL1	FHL3	SSR4P1	LOC79999.1
KAT6B	LOC101927421	LARP4B	FIBIN	ST6GALNAC2	LOC79999.2
KAZALD1	LOC101927478	LARP7	FIBP	ST7-AS1	LONP2
KAZN	LOC101927488	LATS2	FIRRE	STAM2	LONRF3
KBTBD12	LOC101927550	LCA5	FIS1	STARD7-AS1	LPAL2
KBTBD13	LOC101927560	LCA5L	FIZ1	STAT4	LPCAT2
KCNA5	LOC101927572	LCOR	FJX1	STAU2	LRATD1
KCNA6	LOC101927620	LCORL	FKBP10	STIM2-AS1	LRFN1
KCNAB2	LOC101927635	LCP2	FKBP11	STK31	LRIF1
KCNF1	LOC101927708	LDLRAD3	FKBP14	STK38L	LRIG2
KCNG4	LOC101927809	LEF1	FKBP1A	STK4-AS1	LRIT3
KCNIP3	LOC101927811	LEKR1	FKBP1A-SDCBP2	STMN4	LRP12
KCNJ12	LOC101927815	LEO1	FKBP1B	STMND1	LRP2BP
KCNJ13	LOC101927845	LETM2	FKBP2	STPG1	LRP4-AS1
KCNJ14	LOC101927854	LGALS1	FKBP3	STRCP1	LRRC34
KCNJ16	LOC101927914	LGMN	FKBP4	STT3B	LRRC57
KCNJ5	LOC101927932	LHFPL3	FKBP5	STX8	LRRC70
KCNJ9	LOC101927967	LHX1	FKBP7	STXBP2	LRRC74A
KCNK1	LOC101927974	LHX2	FKBP8	SUGP2	LRRIQ4
KCNK2	LOC101928035	LHX9	FKBP9	SUPV3L1	LRRN4CL
KCNK3	LOC101928052	LIG4	FKBP9P1	SYCE2	LSG1
KCNK4-TEX40	LOC101928063	LIMA1	FKRP	SYNE1	LSM1
KCNK6	LOC101928075	LIMS2	FKTN	SYNJ1	LSM10
KCNMB3	LOC101928100	LIN52	FLAD1	SYT2	LSM14A
KCNN1	LOC101928105	LIN7C	FLII	TAB3	LSMEM1
KCNN4	LOC101928120	LINC-PINT	FLJ31356	TACR1	LTBP4
KCNQ1OT1	LOC101928201	LINC-PINT.1	FLJ37453	TAF2	LTO1
KCNQ4	LOC101928226	LINC00032	FLJ42351	TAF5	LTV1
KCNQ5-IT1	LOC101928251	LINC00174	FLJ46875	TAF5L	LUC7L2
KCNS2	LOC101928266	LINC00189	FLNA	TAFA1	LUC7L3
KCNV2	LOC101928272	LINC00260	FLNC	TAPT1-AS1	LURAP1L-AS1
KCTD15	LOC101928295	LINC00298	FLOT2	TAT	LUZP1
KDM2A	LOC101928304	LINC00299	FLT1	TBC1D1	LUZP4
KDM3B	LOC101928324	LINC00322	FLVCR1	TBC1D22B	LYG1
KDM4B	LOC101928335	LINC00333	FLVCR1-DT	TBC1D23	LYSMD1
KIAA0040	LOC101928336	LINC00380	FMC1	TBC1D32	LZIC
KIAA0100	LOC101928343	LINC00491	FMNL3	TBC1D7-LOC100130357	MAATS1
KIAA0895L	LOC101928401	LINC00494	FMO1	TBXT	MAD2L1BP
KIAA1217	LOC101928433	LINC00508	FN3KRP	TC2N	MAFF
KIAA1656	LOC101928491	LINC00535	FNDC11	TCEAL6	MAGEA10
KIAA2013	LOC101928519	LINC00543	FNTA	TCEANC	MAGEA12
KIF13A	LOC101928591	LINC00552	FOCAD	TCF19	MAGEA3
KIF1C	LOC101928596	LINC00554	FOPNL	TCP11	MAGEA4
KIF20A	LOC101928728	LINC00557	FOSL1	TCTN2	MAGEA4-AS1
KIF21A	LOC101928775	LINC00561	FOXA3	TDRD9	MAGEA6
KIF9	LOC101928782	LINC00574	FOXD3	TEKT3	MAGEA8-AS1
KIFC1	LOC101928796	LINC00578	FOXD3-AS1	TENM1	MAGEB10
KIFC2	LOC101928823	LINC00592	FOXH1	TENT5D	MAGEB2
KIR2DS4	LOC101928894	LINC00630	FOXI1	TERT	MAGEB3
KIR3DX1	LOC101928907	LINC00638	FOXJ1	TEX19	MAGI1-IT1
KISS1R	LOC101928940	LINC00643	FOXL2	TG	MAK16
KLB	LOC101928944	LINC00659	FOXL2NB	TH2LCRR	MALINC1
KLF13	LOC101929066	LINC00670	FOXM1	THAP9	MAMLD1
KLF3	LOC101929089	LINC00671	FOXN3-AS1	THEG	MANEA
KLF4	LOC101929140	LINC00674	FOXRED1	THG1L	MANEA-DT
KLF6	LOC101929162	LINC00689	FOXRED2	THNSL1	MANEAL
KLF8	LOC101929208	LINC00707	FOXS1	THOC1	MANSC4
KLHL17	LOC101929210	LINC00870	FPGT-TNNI3K	THOC2	MAP11
KLHL25	LOC101929229	LINC00871	FRAS1	THUMPD3	MAP1LC3B
KLHL30	LOC101929231	LINC00886	FREM1	TIGD2	MAP1LC3B2
KLHL31	LOC101929234	LINC00905	FREM2	TIMM44	MAP2
KLHL33	LOC101929237	LINC00922	FRG1HP	TIMP2	MAP3K1
KLK13	LOC101929295	LINC00954	FRG1HP.1	TLK1	MAP3K13
KLK6	LOC101929380	LINC00964	FRMD1	TLR10	MAP7D1
KLK8	LOC101929439	LINC00971	FRMD6-AS1	TM4SF1	MAPK1
KLRG2	LOC101929470	LINC00977	FRY	TM4SF4	MAPKAPK5-AS1
KLRK1	LOC101929473	LINC01001	FSCN2	TM9SF3	MAPRE1
KMO	LOC101929528	LINC01005	FSD1	TMBIM7P	MARF1
KMT2E-AS1	LOC101929551	LINC01017	FSTL1	TMEM100	MARK2P9
KNG1	LOC101929577	LINC01019	FTCD-AS1	TMEM106A	MAST3
KPNA4	LOC101929829	LINC01036	FTH1	TMEM123	MASTL
KPNB1	LOC101929897	LINC01081	FTSJ1	TMEM132D-AS1	MATR3
KPRP	LOC101929901	LINC01082	FTX	TMEM150B	MBD2
KREMEN1	LOC101930010	LINC01090	FUBP1	TMEM173	MBD3L2
KRI1	LOC101930094	LINC01098	FUCA2	TMEM182	MBD3L3
KRT16P2	LOC102503427	LINC01116	FUNDC2	TMEM202-AS1	MBD3L4
KRT16P3	LOC102723376	LINC01118	FUS	TMEM213	MBD5
KRT17P5	LOC102723655	LINC01122	FUT1	TMEM239	MBLAC1
KRT18	LOC102723655.1	LINC01123	FUT11	TMEM271	MBNL1
KRT18P55	LOC102723655.2	LINC01123.1	FUT9	TMEM65	MCL1
KRT2	LOC102723692	LINC01151	FUZ	TMF1	MCM3AP-AS1
KRT23	LOC102723701	LINC01152	FXR1	TMPRSS5	MCOLN3
KRT35	LOC102723713	LINC01164	FXYD1	TMPRSS9	MED15P9
KRT4	LOC102723729	LINC01169	FXYD2	TNF	MED17
KRT7	LOC102723833	LINC01208	FXYD5	TNK2	MED26
KRT7-AS	LOC102723899	LINC01209	FXYD6	TNMD	MED28
KRT77	LOC102724084	LINC01237	FXYD6-FXYD2	TNP1	MED29
KRT8	LOC102724096	LINC01243	FXYD7	TNPO1	MED31
KRT81	LOC102724421	LINC01252	FZD2	TNXB	MED4
KRT82	LOC102724579	LINC01271	FZD7	TNXB.1	MED4-AS1
KRT83	LOC102724580	LINC01285	FZD9	TOB1-AS1	MED6
KRT85	LOC102724596	LINC01290	G0S2	TOM1L1	MED7
KRT8P41	LOC102724601	LINC01291	G3BP1	TOMM70	MEF2C-AS1
KRTAP10-10	LOC102724710	LINC01305	G3BP2	TOP2A	MEF2D
KRTAP10-4	LOC102724770	LINC01320	G6PC3	TOP2B	MEIOB
KRTAP12-3	LOC102724957	LINC01322	G6PD	TP53BP1	MEP1B
KRTAP4-2	LOC102725191	LINC01324	GAA	TPH2	METAP2
KRTAP5-2	LOC103021295	LINC01340	GAB4	TPP2	METTL16
KRTAP5-AS1	LOC104613533	LINC01347	GABARAP	TPR	METTL21C
KRTAP9-9	LOC105369438	LINC01374	GABBR1	TPX2	METTL24
KTI12	LOC105369728	LINC01378	GABPB1-AS1	TRAK2	METTL4
L3HYPDH	LOC105369879	LINC01413	GABRA1	TRAPPC11	MEX3B
LACTB	LOC105369921	LINC01428	GABRA3	TRAPPC12	MEX3C
LAG3	LOC105370708	LINC01435	GABRA5	TRAPPC13	MFAP1
LAMA1	LOC105370802	LINC01448	GABRB2	TRAPPC9	MFAP3
LAMA4	LOC105371038	LINC01467	GABRB3	TREM2	MFSD11
LAMA5	LOC105371795	LINC01470	GABRD	TRIL	MFSD14B
LAMB3	LOC105371814	LINC01478	GABRG1	TRIM43	MFSD14C
LAMC1	LOC105371855	LINC01491	GABRG2	TRIM48	MGAM
LAMP2	LOC105371880	LINC01505	GABRR1	TRIM49	MGARP
LAMTOR2	LOC105371899	LINC01516	GACAT3	TRIM49B	MGAT1
LANCL2	LOC105372397	LINC01526	GADD45GIP1	TRIM49C	MGAT2
LAPTM5	LOC105372480	LINC01530	GADL1	TRIM49D1	MGC27382
LARGE2	LOC105373064	LINC01565	GAL	TRIM49D1.1	MGP
LARP6	LOC105373553	LINC01569	GAL3ST1	TRIM49D2	MIA
LARS2-AS1	LOC105373878	LINC01572	GAL3ST3	TRIM49D2.1	MIATNB
LASP1	LOC105374312	LINC01579	GAL3ST4	TRIM51	MICU1
LAT	LOC105374378	LINC01582	GALE	TRIM51EP	MINCR
LAYN	LOC105375075	LINC01599	GALK1	TRIM51EP.1	MIPEPP3
LBX2	LOC105375423	LINC01601	GALNS	TRIM51HP	MIR124-2HG
LBX2-AS1	LOC105375504	LINC01608	GALNT11	TRIM53AP	MIR181A2HG
LCAL1	LOC105375787	LINC01611	GALNT16	TRIM53AP.1	MIR194-2HG
LCAT	LOC105376772	LINC01613	GALNT17	TRIM59-IFT80	MIR29B2CHG
LCMT1-AS2	LOC105376805	LINC01630	GALNT7	TRIM6-TRIM34	MIR4453HG
LCP1	LOC105377143	LINC01644	GALR1	TRIM64	MIR4458HG
LCT	LOC105377146	LINC01655	GALT	TRIM64B	MIR4709
LDB1	LOC105377448	LINC01665	GAMT	TRIM72	MIR663AHG
LDHA	LOC105377590	LINC01686	GANAB	TRIM77	MIR7-3HG
LDLR	LOC105377879	LINC01690	GAP43	TRIO	MIR762HG
LDLRAD4	LOC105377924	LINC01695	GAPDH	TRIP11	MIR9-3HG
LEMD1	LOC105378047	LINC01699	GAPDHS	TRIP12	MIS18BP1
LEP	LOC105378367	LINC01732	GAPLINC	TRMT9B	MISP
LETM1	LOC105379176	LINC01741	GAR1	TRPA1	MKRN1
LGALS13	LOC105379194	LINC01758	GARS	TRPC4	MKRN3
LGALS16	LOC105616981	LINC01793	GART	TRPM7	MLKL
LGALS2	LOC107984282	LINC01798	GASK1A	TSC1	MLNR
LGR4	LOC107984703	LINC01807	GATA1	TSC22D1-AS1	MMADHC
LGR6	LOC107985544	LINC01817	GATAD1	TSHZ2	MMP13
LGSN	LOC107985820	LINC01819	GATC	TSPAN16	MMP24-AS1-EDEM2
LHFPL4	LOC112577516	LINC01828	GATD1	TSPAN8	MN1
LHFPL5	LOC112577592	LINC01844	GATD3A	TTBK2	MOB1B
LHX4-AS1	LOC114483833	LINC01845	GATM	TTC13	MOBP
LHX5	LOC143666	LINC01881	GBAP1	TTC23	MOGAT2
LIF	LOC145694	LINC01924	GBAT2	TTC25	MORC3
LILRA1	LOC154761	LINC01933	GCC2-AS1	TTC30A	MORN3
LILRA6	LOC283038	LINC01951	GCDH	TTC30B	MOSPD1
LILRB3	LOC283140	LINC01978	GCK	TTF2	MOV10L1
LILRB4	LOC283177	LINC02006	GCLM	TTLL5	MPC1L
LILRB5	LOC283435	LINC02021	GCNT2	TUT7	MPHOSPH10
LIMCH1	LOC283665	LINC02041	GCNT4	UBE2E2-AS1	MPHOSPH9
LIMK2	LOC283683	LINC02059	GCSAM	UBE2F-SCLY	MPP5
LINC00028	LOC284798	LINC02067	GCSH	UBE2L5	MPPE1
LINC00051	LOC285638	LINC02073	GDAP1L1	UBE2O	MPPED1
LINC00173	LOC285804	LINC02087	GDE1	UBE2V1	MPZ
LINC00216	LOC285847	LINC02099	GDF10	UBE3A	MRAP
LINC00222	LOC285889	LINC02105	GDNF-AS1	UBE3B	MRLN
LINC002481	LOC339166	LINC02159	GDPD5	UBOX5-AS1	MROH1
LINC00261	LOC339803	LINC02177	GEMIN4	UBQLN1	MROH7-TTC4
LINC00278	LOC339862	LINC02188	GEMIN7	UBR5	MROH9
LINC00304	LOC339874	LINC02204	GEMIN7-AS1	UCP1	MRPL20
LINC00320	LOC339975	LINC02205	GEMIN8P4	UEVLD	MRPL35
LINC00330	LOC349160	LINC02215	GFAP	UHRF1BP1	MRPL43
LINC00346	LOC374443	LINC02220	GFOD2	ULBP2	MRPL45P2
LINC00347	LOC375196	LINC02245	GFPT2	UMODL1-AS1	MRPL48
LINC00350	LOC389895	LINC02254	GGCT	USF2	MRPL50
LINC00379	LOC399815	LINC02262	GGPS1	USP12-AS2	MRPS17
LINC00392	LOC400622	LINC02278	GHDC	USP15	MRPS18C
LINC00402	LOC400684	LINC02280	GHET1	USP24	MRPS23
LINC00443	LOC401357	LINC02330	GHR	USP29	MRPS30-DT
LINC00456	LOC401478	LINC02355	GHRL	USP3-AS1	MRS2P2
LINC00461	LOC439933	LINC02360	GID8	USP32	MS4A14
LINC00469	LOC440028	LINC02362	GINM1	USP36	MS4A3
LINC00470	LOC440084	LINC02363	GJA4	USP40	MSANTD1
LINC00477	LOC440346	LINC02405	GJB2	USP47	MSH6
LINC00479	LOC441087	LINC02408	GJB5	USP5	MSL3P1
LINC00482	LOC441204	LINC02428	GJB6	UVRAG	MSMB
LINC00486	LOC441455	LINC02446	GJB7	VCPIP1	MSTN
LINC00486.1	LOC643201	LINC02458	GJC3	VNN1	MSTO2P
LINC00506	LOC643327	LINC02510	GJD2	VPS13A	MSTO2P.1
LINC00511	LOC643441	LINC02542	GK5	VPS45	MT1A
LINC00514	LOC645752	LINC02618	GLB1	VPS9D1	MTERF1
LINC00528	LOC646029	LINC02624	GLB1L3	VSIR	MTIF2
LINC00537	LOC646626	LINC02645	GLI1	VTCN1	MTPN
LINC00538	LOC646813	LINC02648	GLI2	VTRNA2-1	MTREX
LINC00548	LOC654841	LINC02653	GLI3	WAPL	MTRF1L
LINC00562	LOC728755	LINC02655	GLIDR	WARS2	MTRNR2L10
LINC00588	LOC729254	LINC02669	GLIPR1L1	WAS	MTRNR2L3
